sku_id,product_id,shade_name,list_price,sale_price,size,oz_value,g_value,ml_value,fl_oz_value,badge,in_stock,image_url,price_per_oz,price_per_g
2362119,P97989778,Grace,25.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2362119-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2640241,P97989778,Worth,25.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2640241-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2640258,P97989778,Virtue,25.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2640258-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2911691,P97989778,Spirited,25.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2911691-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2911675,P97989778,Resilience,25.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2911675-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2712867,P97989778,Hope,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2712867-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2761971,P97989778,Happy,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2761971-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2893329,P97989778,Charm,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2893329-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2762029,P97989778,Grateful,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2762029-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2893360,P97989778,Faith,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2893360-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2893345,P97989778,Spirited,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2893345-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2893410,P97989778,Wonder,16.0,,,,,,,allure 2022 Best of Beauty Award Winner,False,https://www.sephora.com/productimages/sku/s2893410-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge,,
2954675,P510756,Strawberry Latte,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2954675-main-zoom.jpg,,
2837169,P510756,Bubblegum,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2837169-main-zoom.jpg,,
2828911,P510756,Ube Cream,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2828911-main-zoom.jpg,,
2767309,P510756,Cotton Candy,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2767309-main-zoom.jpg,,
2837144,P510756,Sunset Lychee,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2837144-main-zoom.jpg,,
2767317,P510756,Strawberry Cream,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2767317-main-zoom.jpg,,
2814366,P510756,Latte,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2814366-main-zoom.jpg,,
2934255,P510756,Ube Berry,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2934255-main-zoom.jpg,,
2837151,P510756,Intense Guava,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2837151-main-zoom.jpg,,
2954659,P510756,Berry Fever,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2954659-main-zoom.jpg,,
2767283,P510756,Black Cherry,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2767283-main-zoom.jpg,,
2817930,P510756,Coco-Loco,25.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2817930-main-zoom.jpg,,
2935195,P514568,12 Honeymoon,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2935195-main-zoom.jpg,,
2830230,P514568,6 Rose Haze,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830230-main-zoom.jpg,,
2830180,P514568,37 Peachy Nude,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830180-main-zoom.jpg,,
2830198,P514568,42 Babydoll Pink,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830198-main-zoom.jpg,,
2830206,P514568,44 Nude Lavalliere,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830206-main-zoom.jpg,,
2830214,P514568,54 Berry Bang,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830214-main-zoom.jpg,,
2830248,P514568,87 Pink Voltage,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830248-main-zoom.jpg,,
2830255,P514568,93 Restless Rose,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2830255-main-zoom.jpg,,
2851509,P514568,83 Spicy Berry,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2851509-main-zoom.jpg,,
2884930,P514568,15 Chili Crush,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2884930-main-zoom.jpg,,
2885309,P514568,23 Hot Mauve,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2885309-main-zoom.jpg,,
2880862,P514568,03 Mischievous Magenta,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2880862-main-zoom.jpg,,
2933356,P514568,66 Fuchsia Fizz,46.0,,,,,,,,False,https://www.sephora.com/productimages/sku/s2933356-main-zoom.jpg,,
