sku_id,product_id,shade_name,list_price,sale_price,in_stock,is_final_sale,badge,swatch_img_url
2981116,P524970,sip,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981116-main-zoom.jpg?pb=clean-at-sephora
2981074,P524970,pebble,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981074-main-zoom.jpg?pb=clean-at-sephora
2981041,P524970,sunbed,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981041-main-zoom.jpg?pb=clean-at-sephora
2981066,P524970,bake,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981066-main-zoom.jpg?pb=clean-at-sephora
2981124,P524970,shade,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981124-main-zoom.jpg?pb=clean-at-sephora
2981033,P524970,drench,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981033-main-zoom.jpg?pb=clean-at-sephora
2981058,P524970,anklet,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981058-main-zoom.jpg?pb=clean-at-sephora
2981132,P524970,plunge,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2981132-main-zoom.jpg?pb=clean-at-sephora
2969756,P524711,Cove,$30.00,,False,False,,https://www.sephora.com/productimages/sku/s2969756-main-zoom.jpg
2969699,P524711,Bay,$30.00,,False,False,,https://www.sephora.com/productimages/sku/s2969699-main-zoom.jpg
2969673,P524711,Sol,$30.00,,False,False,,https://www.sephora.com/productimages/sku/s2969673-main-zoom.jpg
2969723,P524711,Palm,$30.00,,False,False,,https://www.sephora.com/productimages/sku/s2969723-main-zoom.jpg
2969731,P524711,Selene,$30.00,,False,False,,https://www.sephora.com/productimages/sku/s2969731-main-zoom.jpg
2578011,P500452,Light Medium,$34.00,,False,False,,https://www.sephora.com/productimages/sku/s2578011-main-zoom.jpg
2577914,P500452,Light,$34.00,,False,False,,https://www.sephora.com/productimages/sku/s2577914-main-zoom.jpg
2578003,P500452,Medium,$34.00,,False,False,,https://www.sephora.com/productimages/sku/s2578003-main-zoom.jpg
2577997,P500452,Medium Dark,$34.00,,False,False,,https://www.sephora.com/productimages/sku/s2577997-main-zoom.jpg
2577989,P500452,Dark,$34.00,,False,False,,https://www.sephora.com/productimages/sku/s2577989-main-zoom.jpg
2577971,P500452,Dark Deep,$34.00,,False,False,,https://www.sephora.com/productimages/sku/s2577971-main-zoom.jpg
2735967,P500123,Honest,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2735967-main-zoom.jpg?pb=allure-2024-bestofbeauty
2735959,P500123,Hope,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2735959-main-zoom.jpg?pb=allure-2024-bestofbeauty
2564268,P500123,Motivate,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2564268-main-zoom.jpg?pb=allure-2024-bestofbeauty
2564276,P500123,Harmony,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2564276-main-zoom.jpg?pb=allure-2024-bestofbeauty
2564284,P500123,Courage,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2564284-main-zoom.jpg?pb=allure-2024-bestofbeauty
2564292,P500123,Strength,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2564292-main-zoom.jpg?pb=allure-2024-bestofbeauty
2564300,P500123,Worthy,$24.00,,False,False,allure 2024 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2564300-main-zoom.jpg?pb=allure-2024-bestofbeauty
2753788,P510823,Swim,$26.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2753788-main-zoom.jpg?pb=clean-planet-aware
2753804,P510823,Sand,$26.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2753804-main-zoom.jpg?pb=clean-planet-aware
2753770,P510823,Salt,$26.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2753770-main-zoom.jpg?pb=clean-planet-aware
2753812,P510823,Spritz,$26.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2753812-main-zoom.jpg?pb=clean-planet-aware
2753820,P510823,Stinson,$26.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2753820-main-zoom.jpg?pb=clean-planet-aware
2753796,P510823,Sail,$26.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2753796-main-zoom.jpg?pb=clean-planet-aware
