sku_id,product_id,shade_name,list_price,sale_price,in_stock,is_final_sale,badge,swatch_img_url
2893410,P97989778,Wonder,$16.00,,False,False,allure 2022 Best of Beauty Award Winner,https://www.sephora.com/productimages/sku/s2893410-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge
2975878,P515061,Ma Donna,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2975878-main-zoom.jpg?pb=clean-planet-aware
2849156,P515061,Stella,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2849156-main-zoom.jpg?pb=clean-planet-aware
2975969,P515061,Fruitti,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2975969-main-zoom.jpg?pb=clean-planet-aware
2849164,P515061,Grazie,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2849164-main-zoom.jpg?pb=clean-planet-aware
2975845,P515061,Vino,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2975845-main-zoom.jpg?pb=clean-planet-aware
2849149,P515061,Ciao,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2849149-main-zoom.jpg?pb=clean-planet-aware
2849123,P515061,Mia,$28.00,,False,False,Clean plus Planet Aware,https://www.sephora.com/productimages/sku/s2849123-main-zoom.jpg?pb=clean-planet-aware
2998102,P517483,Teacup,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2998102-main-zoom.jpg?pb=clean-at-sephora
2896181,P517483,Piggy - baby pink,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2896181-main-zoom.jpg?pb=clean-at-sephora
2896033,P517483,Sprinkle - warm pearly pink,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2896033-main-zoom.jpg?pb=clean-at-sephora
2895779,P517483,Juice Box - hot pink,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2895779-main-zoom.jpg?pb=clean-at-sephora
2895860,P517483,Spicy Marg - bright coral,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2895860-main-zoom.jpg?pb=clean-at-sephora
2896124,P517483,Freckle - neutral peach,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2896124-main-zoom.jpg?pb=clean-at-sephora
2916823,P517483,Tan Line - pinky tan,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2916823-main-zoom.jpg?pb=clean-at-sephora
2895845,P517483,Sleepy Girl - soft mauve,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2895845-main-zoom.jpg?pb=clean-at-sephora
2895969,P517483,Toasted Teddy - bronze terracotta,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2895969-main-zoom.jpg?pb=clean-at-sephora
2916815,P517483,Sun Soak - spiced orange,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2916815-main-zoom.jpg?pb=clean-at-sephora
2896116,P517483,Date Cake - warm red berry,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2896116-main-zoom.jpg?pb=clean-at-sephora
2998110,P517483,Candy Apple,$25.00,,False,False,Clean at Sephora,https://www.sephora.com/productimages/sku/s2998110-main-zoom.jpg?pb=clean-at-sephora
2954675,P510756,Strawberry Latte,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2954675-main-zoom.jpg
2837169,P510756,Bubblegum,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2837169-main-zoom.jpg
2828911,P510756,Ube Cream,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2828911-main-zoom.jpg
2767309,P510756,Cotton Candy,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2767309-main-zoom.jpg
2837144,P510756,Sunset Lychee,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2837144-main-zoom.jpg
2767317,P510756,Strawberry Cream,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2767317-main-zoom.jpg
2814366,P510756,Latte,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2814366-main-zoom.jpg
2934255,P510756,Ube Berry,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2934255-main-zoom.jpg
2837151,P510756,Intense Guava,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2837151-main-zoom.jpg
2954659,P510756,Berry Fever,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2954659-main-zoom.jpg
2767283,P510756,Black Cherry,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2767283-main-zoom.jpg
2817930,P510756,Coco-Loco,$25.00,,False,False,,https://www.sephora.com/productimages/sku/s2817930-main-zoom.jpg
