shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,currency,size
https://www.ulta.com/p/cheek-freak-blush-balm-pimprod2034815?sku=2599827,about-face,Cheek Freak Blush Balm,Smash,https://media.ultainc.com/i/ulta/2599827_sw?img404=2599827&w=80&fmt=auto,Smash Cheek Freak Blush Balm,rosy red,18.0,USD,0.35 oz
https://www.ulta.com/p/skin-perfecting-powder-blushing-act-matte-blush-pimprod2012166?sku=2560673,PÜR Minerals,Skin Perfecting Powder Blushing Act Matte Blush,Berry Beautiful,https://media.ultainc.com/i/ulta/2560673_sw?img404=2560673&w=80&fmt=auto,Berry Beautiful Skin Perfecting Powder Blushing Act Matte Blush,cool-toned berry pink flush,28.0,USD,0.28 oz
https://www.ulta.com/p/skin-perfecting-powder-blushing-act-matte-blush-pimprod2012166?sku=2560675,PÜR Minerals,Skin Perfecting Powder Blushing Act Matte Blush,Pretty in Peach,https://media.ultainc.com/i/ulta/2560675_sw?img404=2560675&w=80&fmt=auto,Pretty in Peach Skin Perfecting Powder Blushing Act Matte Blush,warm peachy coral with glow,28.0,USD,0.28 oz
https://www.ulta.com/p/play-daze-airy-soft-matte-liquid-blush-pimprod2057554?sku=2653178,Benefit Cosmetics,Play Daze Airy Soft Matte Liquid Blush,Apricotta,https://media.ultainc.com/i/ulta/2653178_sw?img404=2653178&w=80&fmt=auto,Apricotta Play Daze Airy Soft Matte Liquid Blush,warm apricotÃ,34.0,USD,0.2 oz
https://www.ulta.com/p/play-daze-airy-soft-matte-liquid-blush-pimprod2057554?sku=2653179,Benefit Cosmetics,Play Daze Airy Soft Matte Liquid Blush,Willa,https://media.ultainc.com/i/ulta/2653179_sw?img404=2653179&w=80&fmt=auto,Willa Play Daze Airy Soft Matte Liquid Blush,soft neutral-roseÃ,34.0,USD,0.2 oz
https://www.ulta.com/p/play-daze-airy-soft-matte-liquid-blush-pimprod2057554?sku=2653180,Benefit Cosmetics,Play Daze Airy Soft Matte Liquid Blush,Starlaa,https://media.ultainc.com/i/ulta/2653180_sw?img404=2653180&w=80&fmt=auto,Starlaa Play Daze Airy Soft Matte Liquid Blush,rosy bronzeÃ,34.0,USD,0.2 oz
https://www.ulta.com/p/play-daze-airy-soft-matte-liquid-blush-pimprod2057554?sku=2653181,Benefit Cosmetics,Play Daze Airy Soft Matte Liquid Blush,Chili,https://media.ultainc.com/i/ulta/2653181_sw?img404=2653181&w=80&fmt=auto,Chili Play Daze Airy Soft Matte Liquid Blush,coral-orangeÃ,34.0,USD,0.2 oz
https://www.ulta.com/p/play-daze-airy-soft-matte-liquid-blush-pimprod2057554?sku=2653182,Benefit Cosmetics,Play Daze Airy Soft Matte Liquid Blush,Berri,https://media.ultainc.com/i/ulta/2653182_sw?img404=2653182&w=80&fmt=auto,Berri Play Daze Airy Soft Matte Liquid Blush,blackberryÃ,34.0,USD,0.2 oz
https://www.ulta.com/p/pressed-powder-blush-pimprod2007329?sku=2545657,Revlon,Pressed Powder Blush,Tickled Pink,https://media.ultainc.com/i/ulta/2545657_sw?img404=2545657&w=80&fmt=auto,Tickled Pink Pressed Powder Blush,,13.99,USD,0.17 oz
https://www.ulta.com/p/pressed-powder-blush-pimprod2007329?sku=2546601,Revlon,Pressed Powder Blush,Apricute,https://media.ultainc.com/i/ulta/2546601_sw?img404=2546601&w=80&fmt=auto,Apricute Pressed Powder Blush,,13.99,USD,0.17 oz
