shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,standard_value,standard_unit,product_id,shade_id,product_image_url,rgb_r,rgb_g,rgb_b,lab_L,lab_a,lab_b,rgb,lab,L_axis,b_axis,hex_color
https://www.ulta.com/p/blush-bff-cream-powder-duo-pimprod2056649?sku=2635108,ULTA Beauty Collection,Blush BFF Cream & Powder Duo,Ride Or Die,https://media.ultainc.com/i/ulta/2635108_sw?img404=2635108&w=80&fmt=auto,Ride Or Die Blush BFF Cream & Powder Duo,purple cream/purple powder,16.0,1.42,g,2056649,2635108,https://media.ulta.com/i/ulta/2635108?w=1080&h=1080&fmt=auto,200,79,133,51.35,53.34,-5.26,"200,79,133","51.35,53.34,-5.26",51.35,-5.26,#c84f85
https://www.ulta.com/p/blush-bff-cream-powder-duo-pimprod2056649?sku=2635106,ULTA Beauty Collection,Blush BFF Cream & Powder Duo,Twinning,https://media.ultainc.com/i/ulta/2635106_sw?img404=2635106&w=80&fmt=auto,Twinning Blush BFF Cream & Powder Duo,orange cream/orange powder,16.0,1.42,g,2056649,2635106,https://media.ulta.com/i/ulta/2635106?w=1080&h=1080&fmt=auto,255,134,106,69.01,43.49,35.85,"255,134,106","69.01,43.49,35.85",69.01,35.85,#ff866a
https://www.ulta.com/p/blush-bff-cream-powder-duo-pimprod2056649?sku=2635109,ULTA Beauty Collection,Blush BFF Cream & Powder Duo,You + Me,https://media.ultainc.com/i/ulta/2635109_sw?img404=2635109&w=80&fmt=auto,You + Me Blush BFF Cream & Powder Duo,mauve cream/mauve powder,16.0,1.42,g,2056649,2635109,https://media.ulta.com/i/ulta/2635109?w=1080&h=1080&fmt=auto,229,134,110,65.62,33.96,28.63,"229,134,110","65.62,33.96,28.63",65.62,28.63,#e5866e
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2638344,Morphe,Cheek Thrills Multi-Finish Face Trio,Beach Bonfire,https://media.ultainc.com/i/ulta/2638344_sw?img404=2638344&w=80&fmt=auto,Beach Bonfire Cheek Thrills Multi-Finish Face Trio,coral peach,19.0,10.77,g,2051122,2638344,https://media.ulta.com/i/ulta/2638344?w=1080&h=1080&fmt=auto,228,150,134,69.49,27.46,20.54,"228,150,134","69.49,27.46,20.54",69.49,20.54,#e49686
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2638348,Morphe,Cheek Thrills Multi-Finish Face Trio,After Party,https://media.ultainc.com/i/ulta/2638348_sw?img404=2638348&w=80&fmt=auto,After Party Cheek Thrills Multi-Finish Face Trio,nude rose,19.0,10.77,g,2051122,2638348,https://media.ulta.com/i/ulta/2638348?w=1080&h=1080&fmt=auto,182,104,90,52.49,29.71,21.49,"182,104,90","52.49,29.71,21.49",52.49,21.49,#b6685a
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2638349,Morphe,Cheek Thrills Multi-Finish Face Trio,Cabana Club,https://media.ultainc.com/i/ulta/2638349_sw?img404=2638349&w=80&fmt=auto,Cabana Club Cheek Thrills Multi-Finish Face Trio,vibrant watermelon,19.0,10.77,g,2051122,2638349,https://media.ulta.com/i/ulta/2638349?w=1080&h=1080&fmt=auto,222,62,73,51.22,61.86,31.04,"222,62,73","51.22,61.86,31.04",51.22,31.04,#de3e49
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2638350,Morphe,Cheek Thrills Multi-Finish Face Trio,AprÃ¨s-Ski,https://media.ultainc.com/i/ulta/2638350_sw?img404=2638350&w=80&fmt=auto,AprÃ¨s-Ski Cheek Thrills Multi-Finish Face Trio,cool pink,19.0,10.77,g,2051122,2638350,https://media.ulta.com/i/ulta/2638350?w=1080&h=1080&fmt=auto,247,148,173,72.21,40.17,3.07,"247,148,173","72.21,40.17,3.07",72.21,3.07,#f794ad
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2638351,Morphe,Cheek Thrills Multi-Finish Face Trio,Wine & Dine,https://media.ultainc.com/i/ulta/2638351_sw?img404=2638351&w=80&fmt=auto,Wine & Dine Cheek Thrills Multi-Finish Face Trio,rich berry,19.0,10.77,g,2051122,2638351,https://media.ulta.com/i/ulta/2638351?w=1080&h=1080&fmt=auto,180,45,85,41.59,55.94,9.59,"180,45,85","41.59,55.94,9.59",41.59,9.59,#b42d55
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2653380,Morphe,Cheek Thrills Multi-Finish Face Trio,Limited Edition Yacht Day,https://media.ultainc.com/i/ulta/2653380_sw?img404=2653380&w=80&fmt=auto,Limited Edition Yacht Day Cheek Thrills Multi-Finish Face Trio,terracotta copper,20.0,10.77,g,2051122,2653380,https://media.ulta.com/i/ulta/2653380?w=1080&h=1080&fmt=auto,211,110,77,57.6,36.94,36.15,"211,110,77","57.6,36.94,36.15",57.6,36.15,#d36e4d
https://www.ulta.com/p/cheek-thrills-multi-finish-face-trio-pimprod2051122?sku=2638343,Morphe,Cheek Thrills Multi-Finish Face Trio,Blind Date,https://media.ultainc.com/i/ulta/2638343_sw?img404=2638343&w=80&fmt=auto,Blind Date Cheek Thrills Multi-Finish Face Trio,mid-tone pink,19.0,10.77,g,2051122,2638343,https://media.ulta.com/i/ulta/2638343?w=1080&h=1080&fmt=auto,221,115,116,60.69,41.31,18.47,"221,115,116","60.69,41.31,18.47",60.69,18.47,#dd7374
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643970,fwee,Mellow Dual Blush,CR01 JUICY SMILE,https://media.ultainc.com/i/ulta/2643970_sw?img404=2643970&w=80&fmt=auto,CR01 JUICY SMILE Mellow Dual Blush,bright apricot & pop orange,20.0,7.09,g,2053334,2643970,https://media.ulta.com/i/ulta/2643970?w=1080&h=1080&fmt=auto,238,136,113,67.26,36.63,29.34,"238,136,113","67.26,36.63,29.34",67.26,29.34,#ee8871
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643971,fwee,Mellow Dual Blush,CR02 BABY SMILE,https://media.ultainc.com/i/ulta/2643971_sw?img404=2643971&w=80&fmt=auto,CR02 BABY SMILE Mellow Dual Blush,pink coral & pop orange,20.0,7.09,g,2053334,2643971,https://media.ulta.com/i/ulta/2643971?w=1080&h=1080&fmt=auto,240,157,138,72.55,28.79,22.74,"240,157,138","72.55,28.79,22.74",72.55,22.74,#f09d8a
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643972,fwee,Mellow Dual Blush,MV01 NO MORE CUPID,https://media.ultainc.com/i/ulta/2643972_sw?img404=2643972&w=80&fmt=auto,MV01 NO MORE CUPID Mellow Dual Blush,ash pink & muted pink,20.0,7.09,g,2053334,2643972,https://media.ulta.com/i/ulta/2643972?w=1080&h=1080&fmt=auto,206,147,154,66.77,23.24,5.21,"206,147,154","66.77,23.24,5.21",66.77,5.21,#ce939a
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643973,fwee,Mellow Dual Blush,MV02 ICY CUPID,https://media.ultainc.com/i/ulta/2643973_sw?img404=2643973&w=80&fmt=auto,MV02 ICY CUPID Mellow Dual Blush,icy lavender & muted pink,20.0,7.09,g,2053334,2643973,https://media.ulta.com/i/ulta/2643973?w=1080&h=1080&fmt=auto,222,180,195,77.35,17.53,-1.84,"222,180,195","77.35,17.53,-1.84",77.35,-1.84,#deb4c3
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643974,fwee,Mellow Dual Blush,ND01 LAZY TEMPO,https://media.ultainc.com/i/ulta/2643974_sw?img404=2643974&w=80&fmt=auto,ND01 LAZY TEMPO Mellow Dual Blush,apricot pink & nudy brown,20.0,7.09,g,2053334,2643974,https://media.ulta.com/i/ulta/2643974?w=1080&h=1080&fmt=auto,230,179,153,76.9,14.97,20.39,"230,179,153","76.9,14.97,20.39",76.9,20.39,#e6b399
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643975,fwee,Mellow Dual Blush,ND02 DOWN TEMPO,https://media.ultainc.com/i/ulta/2643975_sw?img404=2643975&w=80&fmt=auto,ND02 DOWN TEMPO Mellow Dual Blush,sand beige & nudy brown,20.0,7.09,g,2053334,2643975,https://media.ulta.com/i/ulta/2643975?w=1080&h=1080&fmt=auto,230,184,156,78.17,12.68,20.53,"230,184,156","78.17,12.68,20.53",78.17,20.53,#e6b89c
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643976,fwee,Mellow Dual Blush,PK01 LOVE ME HIGHKEY,https://media.ultainc.com/i/ulta/2643976_sw?img404=2643976&w=80&fmt=auto,PK01 LOVE ME HIGHKEY Mellow Dual Blush,light pink & cool pink,20.0,7.09,g,2053334,2643976,https://media.ulta.com/i/ulta/2643976?w=1080&h=1080&fmt=auto,251,178,194,79.76,28.77,2.57,"251,178,194","79.76,28.77,2.57",79.76,2.57,#fbb2c2
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643977,fwee,Mellow Dual Blush,PK02 FALL IN HIGHKEY,https://media.ultainc.com/i/ulta/2643977_sw?img404=2643977&w=80&fmt=auto,PK02 FALL IN HIGHKEY Mellow Dual Blush,true lavender & cool pink,20.0,7.09,g,2053334,2643977,https://media.ulta.com/i/ulta/2643977?w=1080&h=1080&fmt=auto,242,169,197,76.85,30.79,-3.42,"242,169,197","76.85,30.79,-3.42",76.85,-3.42,#f2a9c5
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643978,fwee,Mellow Dual Blush,RD01 FOLLOW ME,https://media.ultainc.com/i/ulta/2643978_sw?img404=2643978&w=80&fmt=auto,RD01 FOLLOW ME Mellow Dual Blush,strawberry pink & sheer red,20.0,7.09,g,2053334,2643978,https://media.ulta.com/i/ulta/2643978?w=1080&h=1080&fmt=auto,238,144,143,69.55,35.4,15.82,"238,144,143","69.55,35.4,15.82",69.55,15.82,#ee908f
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2643979,fwee,Mellow Dual Blush,RD02 ANOTHER ME,https://media.ultainc.com/i/ulta/2643979_sw?img404=2643979&w=80&fmt=auto,RD02 ANOTHER ME Mellow Dual Blush,yellowish orange & sheer red,20.0,7.09,g,2053334,2643979,https://media.ulta.com/i/ulta/2643979?w=1080&h=1080&fmt=auto,240,147,128,70.14,33.03,24.97,"240,147,128","70.14,33.03,24.97",70.14,24.97,#f09380
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2644040,fwee,Mellow Dual Blush,RS01 ROSY TALK,https://media.ultainc.com/i/ulta/2644040_sw?img404=2644040&w=80&fmt=auto,RS01 ROSY TALK Mellow Dual Blush,rosy pink & marsala rose,20.0,7.09,g,2053334,2644040,https://media.ulta.com/i/ulta/2644040?w=1080&h=1080&fmt=auto,211,154,147,68.8,20.35,12.09,"211,154,147","68.8,20.35,12.09",68.8,12.09,#d39a93
https://www.ulta.com/p/mellow-dual-blush-pimprod2053334?sku=2644041,fwee,Mellow Dual Blush,RS02 HUMMING TALK,https://media.ultainc.com/i/ulta/2644041_sw?img404=2644041&w=80&fmt=auto,RS02 HUMMING TALK Mellow Dual Blush,ash beige & marsala rose,20.0,7.09,g,2053334,2644041,https://media.ulta.com/i/ulta/2644041?w=1080&h=1080&fmt=auto,216,164,146,71.71,16.72,16.79,"216,164,146","71.71,16.72,16.79",71.71,16.79,#d8a492
https://www.ulta.com/p/berry-pop-cheek-trio-pimprod2042907?sku=2620853,NATASHA DENONA,Berry Pop Cheek Trio,Berry Pop,https://media.ultainc.com/i/ulta/2620853_sw?img404=2620853&w=24&fmt=auto,Berry Pop Berry Pop Cheek Trio,,48.0,8.79,g,2042907,2620853,https://media.ulta.com/i/ulta/2620853?w=1080&h=1080&fmt=auto,163,44,48,37.49,48.6,26.76,"163,44,48","37.49,48.6,26.76",37.49,26.76,#a32c30
https://www.ulta.com/p/megaglo-blushlighter-pimprod2013408?sku=2559287,Wet n Wild,MegaGlo Blushlighter,Flash Me,https://media.ultainc.com/i/ulta/2559287_sw?img404=2559287&w=80&fmt=auto,Flash Me MegaGlo Blushlighter not available,,7.49,10.0,g,2013408,2559287,https://media.ulta.com/i/ulta/2559287?w=1080&h=1080&fmt=auto,224,179,167,76.61,14.53,12.33,"224,179,167","76.61,14.53,12.33",76.61,12.33,#e0b3a7
https://www.ulta.com/p/megaglo-blushlighter-pimprod2013408?sku=2559792,Wet n Wild,MegaGlo Blushlighter,I Met Someone,https://media.ultainc.com/i/ulta/2559792_sw?img404=2559792&w=80&fmt=auto,I Met Someone MegaGlo Blushlighter,,7.49,10.0,g,2013408,2559792,https://media.ulta.com/i/ulta/2559792?w=1080&h=1080&fmt=auto,236,203,177,83.82,7.72,17.27,"236,203,177","83.82,7.72,17.27",83.82,17.27,#eccbb1
https://www.ulta.com/p/cheek-squad-cream-face-trio-pimprod2037175?sku=2599123,ULTA Beauty Collection,Cheek Squad Cream Face Trio,Berry Glam,https://media.ultainc.com/i/ulta/2599123_sw?img404=2599123&w=80&fmt=auto,Berry Glam Cheek Squad Cream Face Trio,medium to deep palette,18.0,1.98,g,2037175,2599123,https://media.ulta.com/i/ulta/2599123?w=1080&h=1080&fmt=auto,211,148,107,66.59,19.04,31.11,"211,148,107","66.59,19.04,31.11",66.59,31.11,#d3946b
https://www.ulta.com/p/cheek-squad-cream-face-trio-pimprod2037175?sku=2628627,ULTA Beauty Collection,Cheek Squad Cream Face Trio,Boysenberry,https://media.ultainc.com/i/ulta/2628627_sw?img404=2628627&w=80&fmt=auto,Boysenberry Cheek Squad Cream Face Trio,medium palette,18.0,1.98,g,2037175,2628627,https://media.ulta.com/i/ulta/2628627?w=1080&h=1080&fmt=auto,227,167,127,73.22,17.24,29.34,"227,167,127","73.22,17.24,29.34",73.22,29.34,#e3a77f
https://www.ulta.com/p/cheek-squad-cream-face-trio-pimprod2037175?sku=2628626,ULTA Beauty Collection,Cheek Squad Cream Face Trio,Bubblegum,https://media.ultainc.com/i/ulta/2628626_sw?img404=2628626&w=80&fmt=auto,Bubblegum Cheek Squad Cream Face Trio,light palette,18.0,1.98,g,2037175,2628626,https://media.ulta.com/i/ulta/2628626?w=1080&h=1080&fmt=auto,243,233,225,92.91,2.02,5.09,"243,233,225","92.91,2.02,5.09",92.91,5.09,#f3e9e1
https://www.ulta.com/p/cheek-squad-cream-face-trio-pimprod2037175?sku=2599122,ULTA Beauty Collection,Cheek Squad Cream Face Trio,Pop of Petal,https://media.ultainc.com/i/ulta/2599122_sw?img404=2599122&w=80&fmt=auto,Pop of Petal Cheek Squad Cream Face Trio,light to medium palette,18.0,1.98,g,2037175,2599122,https://media.ulta.com/i/ulta/2599122?w=1080&h=1080&fmt=auto,251,186,160,80.83,20.15,22.39,"251,186,160","80.83,20.15,22.39",80.83,22.39,#fbbaa0
