shade_url,brand,product_name,shade,swatch_img_url,swatch_alt,description,price,standard_value,standard_unit,product_id,shade_id,product_image_url,rgb_r,rgb_g,rgb_b,lab_L,lab_a,lab_b,rgb,lab,L_axis,b_axis,hex_color
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634527,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Bubblegum Pop,https://media.ultainc.com/i/ulta/2634527_sw?img404=2634527&w=80&fmt=auto,Bubblegum Pop Trublend Skin Enhancer Balm Blush Stick,"cool, bright pink",12.99,5.95,g,2049677,2634527,https://media.ulta.com/i/ulta/2634527?w=1080&h=1080&fmt=auto,255,126,180,69.1,54.69,-5.27,"255,126,180","69.1,54.69,-5.27",69.1,-5.27,#ff7eb4
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652760,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Candied Strawberry,https://media.ultainc.com/i/ulta/2652760_sw?img404=2652760&w=80&fmt=auto,Candied Strawberry Trublend Skin Enhancer Balm Blush Stick,bright red,12.99,5.95,g,2049677,2652760,https://media.ulta.com/i/ulta/2652760?w=1080&h=1080&fmt=auto,193,52,58,44.38,55.71,30.35,"193,52,58","44.38,55.71,30.35",44.38,30.35,#c1343a
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652756,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Midnight Plum,https://media.ultainc.com/i/ulta/2652756_sw?img404=2652756&w=80&fmt=auto,Midnight Plum Trublend Skin Enhancer Balm Blush Stick,deep berry,12.99,5.95,g,2049677,2652756,https://media.ulta.com/i/ulta/2652756?w=1080&h=1080&fmt=auto,105,25,50,23.44,37.06,4.89,"105,25,50","23.44,37.06,4.89",23.44,4.89,#691932
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634526,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Nude Flush,https://media.ultainc.com/i/ulta/2634526_sw?img404=2634526&w=80&fmt=auto,Nude Flush Trublend Skin Enhancer Balm Blush Stick,nude pink,12.99,5.95,g,2049677,2634526,https://media.ulta.com/i/ulta/2634526?w=1080&h=1080&fmt=auto,222,132,124,64.56,33.66,19.24,"222,132,124","64.56,33.66,19.24",64.56,19.24,#de847c
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652758,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Pink Sprinkle,https://media.ultainc.com/i/ulta/2652758_sw?img404=2652758&w=80&fmt=auto,Pink Sprinkle Trublend Skin Enhancer Balm Blush Stick,warm pink,12.99,5.95,g,2049677,2652758,https://media.ulta.com/i/ulta/2652758?w=1080&h=1080&fmt=auto,242,133,156,68.06,43.98,6.51,"242,133,156","68.06,43.98,6.51",68.06,6.51,#f2859c
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634528,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Radiant Peach,https://media.ultainc.com/i/ulta/2634528_sw?img404=2634528&w=80&fmt=auto,Radiant Peach Trublend Skin Enhancer Balm Blush Stick,warm peach,12.99,5.95,g,2049677,2634528,https://media.ulta.com/i/ulta/2634528?w=1080&h=1080&fmt=auto,255,116,93,65.39,51.34,38.4,"255,116,93","65.39,51.34,38.4",65.39,38.4,#ff745d
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652761,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Sleepy Mauve,https://media.ultainc.com/i/ulta/2652761_sw?img404=2652761&w=80&fmt=auto,Sleepy Mauve Trublend Skin Enhancer Balm Blush Stick,cool mauve,12.99,5.95,g,2049677,2652761,https://media.ulta.com/i/ulta/2652761?w=1080&h=1080&fmt=auto,166,102,100,50.13,25.51,12.06,"166,102,100","50.13,25.51,12.06",50.13,12.06,#a66664
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652755,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Spiced Rose,https://media.ultainc.com/i/ulta/2652755_sw?img404=2652755&w=80&fmt=auto,Spiced Rose Trublend Skin Enhancer Balm Blush Stick,warm mauve,12.99,5.95,g,2049677,2652755,https://media.ulta.com/i/ulta/2652755?w=1080&h=1080&fmt=auto,165,73,82,43.32,38.8,13.46,"165,73,82","43.32,38.8,13.46",43.32,13.46,#a54952
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2634529,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Sweet Violet,https://media.ultainc.com/i/ulta/2634529_sw?img404=2634529&w=80&fmt=auto,Sweet Violet Trublend Skin Enhancer Balm Blush Stick,"cool, bright purple",12.99,5.95,g,2049677,2634529,https://media.ulta.com/i/ulta/2634529?w=1080&h=1080&fmt=auto,208,95,138,55.52,49.08,-1.93,"208,95,138","55.52,49.08,-1.93",55.52,-1.93,#d05f8a
https://www.ulta.com/p/trublend-skin-enhancer-balm-blush-stick-pimprod2049677?sku=2652757,CoverGirl,Trublend Skin Enhancer Balm Blush Stick,Toasted Chai,https://media.ultainc.com/i/ulta/2652757_sw?img404=2652757&w=80&fmt=auto,Toasted Chai Trublend Skin Enhancer Balm Blush Stick,warm terracota,12.99,5.95,g,2049677,2652757,https://media.ulta.com/i/ulta/2652757?w=1080&h=1080&fmt=auto,146,74,62,40.18,29.1,20.96,"146,74,62","40.18,29.1,20.96",40.18,20.96,#924a3e
